"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1700109H08Rik","ENSMUSG00000008307",75.3532138879544,0.523376233821224,0.242100063361635,0.0191421884599488,0.0400187053201243
"Trove2","ENSMUSG00000018199",1848.31772931575,0.359922402186308,0.159327284311937,0.0191556047553701,0.0400435371112982
"AC144797.2","ENSMUSG00000117289",5.23846109206242,1.19188535039455,0.901694586162052,0.0191583611091762,0.0400460827938997
"Gm26790","ENSMUSG00000096990",3.44623834577971,-1.21621808831961,0.950269971514007,0.0191796144599458,0.0400872886182822
"Col12a1","ENSMUSG00000032332",2533.79888807473,-1.01076621674164,0.640347729574977,0.0191855121222607,0.0400963954968847
"Gm43588","ENSMUSG00000107370",2.05355312499071,-1.29160337648694,1.22144100422825,0.0191880981767064,0.0400985804370386
"Gm8909","ENSMUSG00000073402",37.0775642594471,-0.790343269721855,0.420748857287597,0.0192034815475926,0.0401275062396226
"AC154258.1","ENSMUSG00000117039",15.8526650513092,0.796144447880645,0.425620412391136,0.0192150661428921,0.0401484901314277
"Cdk5rap1","ENSMUSG00000027487",312.236766091936,0.303189727964968,0.132988608522603,0.0192191031594708,0.0401537018008273
"Lncpint","ENSMUSG00000044471",65.5885725759,-0.566356216591965,0.266511869442916,0.0192231361643459,0.0401589042527967
"Trmt112","ENSMUSG00000038812",1466.37115814178,-0.169910239081441,0.0735646670965715,0.0192349526764043,0.0401803650290089
"Lrrc74b","ENSMUSG00000022759",4.82499568698064,1.22938985303448,0.981628486134651,0.0192528325252905,0.0402144871975172
"Rcn3","ENSMUSG00000019539",2156.34901811715,-0.592116881976965,0.281779468623691,0.0192560469135043,0.040217973765422
"Gm42973","ENSMUSG00000105733",1.21642037435776,-1.27305676330834,1.40543810525008,0.0192802084124005,0.0402652061749146
"Gm45307","ENSMUSG00000109682",4.8101687194307,1.22488721668436,0.972325910198574,0.0192827720118024,0.0402673291016683
"Atp23","ENSMUSG00000025436",139.323433803335,0.387846105126269,0.172961910740652,0.0193366316537323,0.0403765622690207
"Zfp618","ENSMUSG00000028358",779.113913568326,0.429953506871474,0.193727000979658,0.0193693777437709,0.0404416945222902
"Gm6345","ENSMUSG00000096964",30.3504511471734,0.686824372248767,0.343207755308282,0.0193746951100191,0.0404495519630686
"Fcgrt","ENSMUSG00000003420",503.897572801856,-0.528062675817577,0.245305264524805,0.019402193794303,0.0405037135128424
"Terf1","ENSMUSG00000025925",355.166264507574,0.256208067401325,0.1118813592097,0.0194199733941032,0.0405375785950532
"Btc","ENSMUSG00000082361",561.905809136327,-0.590159166919877,0.281153854512922,0.0194435917290689,0.0405836251422779
"Cyld","ENSMUSG00000036712",3206.179998031,-0.223417900931854,0.09725750767672,0.0194458095104938,0.0405849995941892
"Fgfrl1","ENSMUSG00000008090",564.976110973673,-0.48499873711693,0.222156898293799,0.0194521028210221,0.0405948791072452
"Gm6644","ENSMUSG00000100309",41.6849651076118,-0.599660524029474,0.286941547280824,0.0194610281562892,0.0406102494068706
"Gm8515","ENSMUSG00000103206",37.8389004134161,-0.570802654895867,0.269795094500985,0.0194786427360691,0.0406437480466896
"Gm37639","ENSMUSG00000102863",3.01245325849969,-1.28708177451197,1.25610088928452,0.0194930750688094,0.0406706018349475
"Exoc4","ENSMUSG00000029763",2961.65897936555,0.18072894168722,0.0784839803495507,0.0195249632983881,0.0407338686061595
"5330429C05Rik","ENSMUSG00000085896",1.79218625700669,-1.28204444315287,1.32882958564339,0.0195317737971466,0.0407448111238384
"Trex2","ENSMUSG00000031372",2.22348899416062,-1.2827374482458,1.19578972473722,0.0195532529574132,0.040786349413011
"Abca1","ENSMUSG00000015243",9067.23090655714,0.172820035140525,0.0750462014646875,0.0195672420895281,0.0408122587632211
"Serpinh1","ENSMUSG00000070436",10509.4663693081,-0.586130934043485,0.279108958280469,0.0195704347748179,0.0408156471409423
"Mga","ENSMUSG00000033943",2705.37329005543,0.317872702916133,0.140186389990879,0.0195773682704855,0.0408268360984052
"Ly6g5b","ENSMUSG00000043807",8.60341306125769,1.0056721978897,0.638765296943376,0.0195828214652434,0.0408349364763143
