"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Ucn3","ENSMUSG00000044988",4654.89854478956,0.977634529925393,0.220320896641207,1.73111709997932e-08,1.62205672268062e-05
"Proc","ENSMUSG00000024386",159.681832754887,-1.0928731864575,0.271309467123794,2.41581942488379e-08,2.1504416610603e-05
"Stom","ENSMUSG00000026880",5285.19875248291,-0.889613006244401,0.193869169548697,3.0045356593197e-08,2.54713087346993e-05
"Camk1","ENSMUSG00000030272",1978.80750743729,-0.379811707518112,0.0851068073768705,5.88781692735819e-08,4.76458203444354e-05
"Zcchc2","ENSMUSG00000038866",2340.67788431764,0.399582531841371,0.0890128223326119,6.23413660029083e-08,4.82549277804251e-05
"Chrm3","ENSMUSG00000046159",1215.43354232485,0.806481872537146,0.177098174302447,8.90241906276386e-08,6.6037402739327e-05
"Mapk13","ENSMUSG00000004864",1179.86904048332,-0.709258048331797,0.150480962908733,9.43539785711477e-08,6.71913552200857e-05
"Itga3","ENSMUSG00000001507",7678.71967885571,-0.671300781114186,0.142193004040556,1.04398114514313e-07,6.93161182670842e-05
"Sema3e","ENSMUSG00000063531",753.772278508877,-0.641899852511898,0.135702054395067,1.05124708937329e-07,6.93161182670842e-05
"Sult1c2","ENSMUSG00000023122",285.024963887122,1.07557565854156,0.298364968206151,1.45999487122425e-07,9.05771101844749e-05
"Npy","ENSMUSG00000029819",265.38784438133,-0.799819414264175,0.180446947708499,1.51261776684021e-07,9.05771101844749e-05
"Gm572","ENSMUSG00000070577",794.262757139485,0.73080618004096,0.160084373988684,1.5263232632333e-07,9.05771101844749e-05
"Mecom","ENSMUSG00000027684",328.273169893022,-0.708211566511144,0.154847923695981,1.65770032313086e-07,9.48652056925023e-05
"Npl","ENSMUSG00000042684",102.384960055102,-0.956780021820269,0.245703739540962,1.80544421138051e-07,9.48652056925023e-05
"Trim21","ENSMUSG00000030966",1222.03163803642,0.48239248686856,0.108922596061812,1.82909508236862e-07,9.48652056925023e-05
"Gjd2","ENSMUSG00000068615",2309.46207812748,1.01207252563918,0.272689180602233,1.84479539204402e-07,9.48652056925023e-05
"Fbxl21","ENSMUSG00000035509",140.62462737567,-0.703927427891089,0.154848390327566,1.88054066022589e-07,9.48652056925023e-05
"Tc2n","ENSMUSG00000021187",445.408593078898,-0.866851618662142,0.207534931391826,1.9182988288098e-07,9.48652056925023e-05
"Fam111a","ENSMUSG00000024691",711.250242071549,-0.564615261983964,0.124731821662193,2.08992795923023e-07,0.000100559425562637
"Gm19461","ENSMUSG00000101693",219.239506706271,0.783865395230461,0.181937714639838,2.732819183426e-07,0.000124077879605759
"C2cd4c","ENSMUSG00000045912",638.121667519769,0.637866233199006,0.142173432008406,2.7657894691056e-07,0.000124077879605759
"Ddx31","ENSMUSG00000026806",1364.49820865314,0.488697599098372,0.112656104617625,2.78779710398829e-07,0.000124077879605759
"Ebp","ENSMUSG00000031168",1068.86209663157,-0.382977935302459,0.093493195149548,3.13487810756436e-07,0.000136122524265776
"Sgsm2","ENSMUSG00000038351",2484.01310957387,0.518397967645162,0.119338667588687,3.36384665976557e-07,0.00014050504888471
"Gm9767","ENSMUSG00000039098",75.7854426098718,0.990083219372859,0.275664679614189,3.4096664631704e-07,0.00014050504888471
"Tnfaip8","ENSMUSG00000062210",1081.92110629357,-0.574638577537175,0.130450851575271,3.47257324660295e-07,0.00014050504888471
"Efna5","ENSMUSG00000048915",931.571164885352,-0.522095731283826,0.120628377186568,3.65932059453669e-07,0.000144770854543415
"Ppp2r2b","ENSMUSG00000024500",306.352135516924,-0.898176979431999,0.235290469431866,4.4397709837462e-07,0.00017182878874703
"Serpina3n","ENSMUSG00000021091",9397.53279365129,-1.09483841798867,0.341117427240727,4.62969304864642e-07,0.000175366862436281
"Neb","ENSMUSG00000026950",271.552991937462,-0.950255663677357,0.268860185990458,6.02150853802927e-07,0.000223335242713615
"Orm1","ENSMUSG00000039196",206.243839602189,-0.920645307866812,0.260743310588469,8.15762435908146e-07,0.000296388135642301
