"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Ighv1-85","ENSMUSG00000096150",15.4291590007582,20.1658897973651,4.89795701517136,7.81306030028604e-08,5.17042287138596e-05
"Gbp8","ENSMUSG00000034438",6570.460619232,-0.898522308942825,0.185934671700533,1.47257424940506e-07,9.43065050756086e-05
"Kynu","ENSMUSG00000026866",61.3288862655961,-1.31530210216788,0.313979672979372,2.01932784745645e-07,0.000125280361736103
"Fbxw7","ENSMUSG00000028086",2260.41535976426,-0.498387258965162,0.100604997059725,3.02431766446814e-07,0.0001819447836142
"Gm5860","ENSMUSG00000085022",409.252032459293,-0.620638186635136,0.128688431533107,4.01225192539696e-07,0.000234280110220312
"Igkv4-59","ENSMUSG00000094006",26.6355353449374,-18.1521866700983,7.10626827769698,4.5157824054512e-07,0.000256148080272636
"Slc23a2","ENSMUSG00000027340",3961.95067323607,-0.320927694070488,0.0664221292696946,5.23385831975682e-07,0.000288632747839256
"Cdk14","ENSMUSG00000028926",1242.12749401408,0.75737271957953,0.18001190232856,1.77095713216624e-06,0.000950238160672877
"A630023A22Rik","ENSMUSG00000095493",36.7247727274776,-1.68280202102884,0.588755940062163,1.97430332793269e-06,0.0010236364681886
"Hspb1","ENSMUSG00000004951",803.264822313239,0.783229948933435,0.190065801836553,2.01087101492748e-06,0.0010236364681886
"Pigr","ENSMUSG00000026417",10761.8004584459,-0.768527818766464,0.188078154086659,2.25310201994115e-06,0.00111827086004729
"Osbpl5","ENSMUSG00000037606",2215.42991507481,0.324142240089254,0.076487093584322,2.37187992910899e-06,0.00114686412232445
"Vwa5a","ENSMUSG00000023186",4443.54755498031,-0.286471041210024,0.0682570920088841,2.42624757656914e-06,0.00114686412232445
"Igkv5-43","ENSMUSG00000094433",23.8826479580697,10.8878962180293,9.6017275501708,3.6264894312908e-06,0.00167434173673061
"Glo1","ENSMUSG00000024026",2320.32746456976,-0.321310584971433,0.0832920017598742,4.68741448602206e-06,0.00211498272252263
"Padi2","ENSMUSG00000028927",270.049216397637,0.784708174099819,0.21773634026619,5.28293565130856e-06,0.00230619383821026
"Ctnnbip1","ENSMUSG00000028988",904.03900218234,0.337551872180958,0.0890281707028274,5.34352070506584e-06,0.00230619383821026
"Wipi1","ENSMUSG00000041895",5133.42483548371,-0.408960835719036,0.113129019855932,7.55546856140829e-06,0.00319146207126891
"Tap2","ENSMUSG00000024339",9879.23630918499,-0.300953464647367,0.0875742963185052,8.54966371324351e-06,0.00353617653539632
"Raet1e","ENSMUSG00000053219",140.54631341625,0.881204692617344,0.290836690758911,9.55089370501327e-06,0.00386967128011486
"Nupr1","ENSMUSG00000030717",14227.7463497667,1.02546538568892,0.381378469292086,9.86525278586152e-06,0.00391709727115418
"Ggt1","ENSMUSG00000006345",85.0933269609075,0.90937606056892,0.31142330279011,1.02112716218621e-05,0.00397498775507507
"Tnip3","ENSMUSG00000044162",162.718761623574,0.861389111975892,0.286660875919197,1.04147532187482e-05,0.00397623260868861
"C2cd4a","ENSMUSG00000047990",272.321360168107,-0.896345720586278,0.339489827111982,1.50319602176634e-05,0.00563074540002399
"Tmtc1","ENSMUSG00000030306",3351.81767564767,-0.71151257896867,0.241135696864226,1.57692186978403e-05,0.00579752405200414
"Slc12a3","ENSMUSG00000031766",141.134706142838,-1.12786562926048,0.568592529832692,1.72230473158826e-05,0.00621689378840396
"Xlr4a","ENSMUSG00000079845",21.314381810783,1.57667810831764,1.54586785135068,1.82153608508444e-05,0.00645767069592525
"Ifit3b","ENSMUSG00000062488",1209.09333675879,0.836473260062832,0.333622481010035,2.06864314854394e-05,0.00720504779439348
"Trib1","ENSMUSG00000032501",3607.90147493409,-0.269625398176972,0.100686866628903,2.22668905500437e-05,0.00762180307051755
"Epb41l4a","ENSMUSG00000024376",1090.03713704056,-0.519920224085694,0.189097771320442,2.57267082764265e-05,0.00865681931206603
"Serping1","ENSMUSG00000023224",27931.6595316228,-0.523521771042672,0.193023350370261,2.69855091431459e-05,0.00886827139616879
"Lamp2","ENSMUSG00000016534",11768.9661117292,-0.317529177733618,0.121599533524521,2.72485042646601e-05,0.00886827139616879
"Pink1","ENSMUSG00000028756",3731.97456047914,0.205165080010199,0.0883560531057292,2.90504626933399e-05,0.00930223928791738
"2410021H03Rik","ENSMUSG00000100572",458.951848452046,-0.668010905348272,0.266734347646379,3.0123646081788e-05,0.00949277374066248
"Ywhah","ENSMUSG00000018965",10110.7528779722,-0.424658695579317,0.163002964708297,3.11095243479529e-05,0.00965027166999859
"Cped1","ENSMUSG00000062980",810.665290269179,-0.475958062786468,0.188663751688602,3.51468343298219e-05,0.0107349246453839
"B230216N24Rik","ENSMUSG00000089706",104.626218054053,-0.833647210919588,0.410514439543552,3.57646801752957e-05,0.0107581241745477
"Tph2","ENSMUSG00000006764",367.644169351908,-0.798268242766421,0.37954931252141,3.6368995688537e-05,0.0107766219612616
"Socs3","ENSMUSG00000053113",5094.41012280684,-0.601171505751985,0.249158333831777,3.73658080541557e-05,0.0109091674602817
"Bmp7","ENSMUSG00000008999",90.9051219974744,0.803331833606358,0.393026688027282,3.83051147623052e-05,0.0110213252663195
"Ntsr2","ENSMUSG00000020591",23.8126973492313,-1.04804586244148,0.85717828074634,4.07344109654267e-05,0.0115528608699516
"Rps3a2","ENSMUSG00000062611",715.695243868263,0.82700979835782,0.438776710760214,4.2487615983105e-05,0.0118803752128533
"Gm38070","ENSMUSG00000103560",14449.9346826643,-0.711193029390507,0.345730986694191,4.7671143498499e-05,0.0131446557204958
"Gna14","ENSMUSG00000024697",836.767989151296,-0.673040941041161,0.327356782553523,5.19239639406241e-05,0.0140685050769983
"Gbp4","ENSMUSG00000079363",27431.6457656041,-0.661297457212185,0.319849160882455,5.24388946606493e-05,0.0140685050769983
"Rps3a1","ENSMUSG00000028081",17621.7200952044,-0.559109127188022,0.258088666695182,5.40831855908321e-05,0.0143161797804639
"Gm7429","ENSMUSG00000082260",482.574047922554,0.338540764367397,0.162255059348183,5.94723837658515e-05,0.0154406009114699
"Chl1","ENSMUSG00000030077",1017.84631237727,-0.718579428867281,0.392232480913638,6.0550568370219e-05,0.0154406009114699
