"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Srms","ENSMUSG00000027579",27.261980767273,-2.67671268339769,0.457297706497726,1.11072966132895e-10,7.81331528558347e-10
"Rtn1","ENSMUSG00000021087",994.190868235393,1.04710694233668,0.171814339170442,1.12648835380349e-10,7.92202248487147e-10
"Slc16a10","ENSMUSG00000019838",7820.05143554433,1.15666796886822,0.191112956113368,1.1282866394658e-10,7.93252092949821e-10
"Egr3","ENSMUSG00000033730",247.884533958077,1.66615299209688,0.276898720533482,1.13124627087035e-10,7.95117642781433e-10
"Uqcrq","ENSMUSG00000044894",7099.63363723105,-0.811953604275781,0.130443750722007,1.13603353218482e-10,7.98266419490581e-10
"Pcdha11","ENSMUSG00000007440",154.193358647256,1.81789410929111,0.30246778343358,1.14033559492412e-10,8.0107264635581e-10
"Fndc11","ENSMUSG00000047841",28.0091578841938,5.15394991752633,0.936941176471846,1.14672258582277e-10,8.0534159752307e-10
"Faap100","ENSMUSG00000025384",1712.7652303478,-0.853074600920435,0.137642666474087,1.15180348749924e-10,8.08691223948165e-10
"2210408I21Rik","ENSMUSG00000071252",467.895866357974,0.744125922192792,0.118866511671686,1.16404545077117e-10,8.17065524377783e-10
"Cnp","ENSMUSG00000006782",2103.71135309882,-1.04045514328095,0.170909550884336,1.19747890370701e-10,8.40305987791804e-10
"Spint1","ENSMUSG00000027315",13825.9520199963,-1.09904778378,0.181337961468468,1.21160141093982e-10,8.49986500365153e-10
"Mmgt1","ENSMUSG00000061273",1775.3563838945,0.7229362960168,0.115390644028782,1.2161823942784e-10,8.52969834237224e-10
"Dnttip2","ENSMUSG00000039756",3410.65875180265,-0.630069533183411,0.0998243969257038,1.21981585178804e-10,8.55287189168119e-10
"Ikzf4","ENSMUSG00000002578",1371.68430817875,0.823795638152434,0.13275344367184,1.22641294845743e-10,8.59680720226392e-10
"Nr1h3","ENSMUSG00000002108",392.396641784682,0.684498579291423,0.108925945727337,1.22802939115608e-10,8.60581525032772e-10
"Sbds","ENSMUSG00000025337",4689.20247472503,-0.693338421378545,0.110428882498695,1.23500746121828e-10,8.6523816496628e-10
"Dnm2","ENSMUSG00000033335",14222.5338170556,-0.637871838042494,0.101154720028035,1.23751077797946e-10,8.66758155741765e-10
"Tnfrsf21","ENSMUSG00000023915",3276.62494350218,-0.665857359964575,0.105837219222214,1.24548337148821e-10,8.72107000294429e-10
"Ssu2","ENSMUSG00000034387",32.9506920877333,6.06739765732795,1.10914425294316,1.27402030980367e-10,8.91848557032646e-10
"Sema6a","ENSMUSG00000019647",859.448191899642,1.32170861961741,0.220263484313889,1.27882723098584e-10,8.94972299001165e-10
"Farsa","ENSMUSG00000003808",2567.60112979305,-0.438937739587543,0.0688710547433719,1.29029161311196e-10,9.02752249033693e-10
"Fbxl18","ENSMUSG00000066640",1349.23019045221,0.511340114949306,0.0805212082681922,1.29499850374426e-10,9.05801404275306e-10
"Utp3","ENSMUSG00000070697",3056.61682959386,-0.571183278181792,0.0902709403265441,1.30016855802507e-10,9.09172795381504e-10
"Fan1","ENSMUSG00000033458",497.90250769376,0.760609010806921,0.122024501939133,1.30235379467111e-10,9.10455730858773e-10
"Elf4","ENSMUSG00000031103",1800.90359364031,-0.854273788187767,0.138344407446322,1.32473513193566e-10,9.25852963172796e-10
"Mat1a","ENSMUSG00000037798",5288.61283918709,-1.3548693882455,0.226166078202717,1.33868397845429e-10,9.35350056616528e-10
"Skap2","ENSMUSG00000059182",2740.48519395487,0.474075133938745,0.0745808258204634,1.34636664063619e-10,9.40464981817171e-10
"Smim10l2a","ENSMUSG00000054850",209.890598871976,1.78199984564973,0.297841606747943,1.36216746072509e-10,9.51246332952171e-10
"Pcyt1a","ENSMUSG00000005615",4429.4128765882,-0.465059758660388,0.0731747389612354,1.38006789099576e-10,9.6348772035083e-10
